P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,Responden
0.7308,0.8442,0.6352,0.7104,0.7135,0.6769,0.8406,0.7404,0.9291,-1.2877,1.0,-0.866,R1
-0.9153,0.7743,0.8025,1.5523,0.0584,-1.3053,-0.4979,-2.9564,0.1368,0.7766,-1.0,-0.866,R2
-0.7506,-4.7439,-3.826,-5.8145,-2.8673,-4.2022,-1.5687,-1.0107,-5.5531,0.7766,1.0,1.1547,R3
0.7308,-0.2036,-0.3128,-1.2892,0.0584,0.1051,1.1083,-1.0107,-0.2233,0.7766,1.0,1.1547,R4
1.5538,0.7743,0.2448,0.4473,-0.0289,0.2576,0.7067,0.6626,-0.5834,0.7766,1.0,-0.866,R5
-2.5613,-1.9498,-2.153,-1.1313,-0.5966,-0.6191,0.4524,0.4388,-1.2316,-1.2877,1.0,1.1547,R6
0.1821,-0.5528,0.0775,-0.342,-2.3433,-0.4667,0.7067,0.935,-0.5114,-1.2877,1.0,1.1547,R7
1.5538,1.6126,1.3043,0.4473,0.6261,-0.886,-1.127,0.2831,1.5053,-1.2877,1.0,-0.866,R8
-0.6409,0.006,0.1891,-2.3416,-0.0289,0.0289,1.1083,0.935,-0.2953,0.7766,1.0,-0.866,R9
-1.7931,1.5427,-0.5359,0.4473,-0.3346,0.3338,-1.5687,-2.9564,-1.2316,-1.2877,1.0,-0.866,R10
1.7184,1.6824,1.2486,1.2366,1.4122,1.2486,0.9744,0.8766,2.0095,-1.2877,-1.0,1.1547,R11
1.8282,2.2412,-0.0898,1.5523,1.0191,0.9437,1.1083,0.935,1.7934,-1.2877,1.0,1.1547,R12
-3.6587,-3.3468,-0.4801,0.7104,1.1501,1.4392,0.439,0.935,0.2809,-1.2877,1.0,1.1547,R13
-0.4763,0.2155,0.0218,-2.4994,-0.0289,0.4863,0.9476,0.5945,-0.1513,-1.2877,-1.0,1.1547,R14
0.3467,-0.4131,-0.7032,-0.8156,0.1458,0.2957,0.8406,0.7404,0.641,0.7766,1.0,-0.866,R15
0.5113,1.5427,0.8025,0.763,-2.125,1.058,-0.2302,-2.9564,0.7851,0.7766,1.0,-0.866,R16
-1.5737,0.8442,1.0813,1.7628,0.5825,-1.7246,-0.6719,-1.0107,0.713,0.7766,1.0,-0.866,R17
0.2918,-3.766,-6.3911,-4.6042,-2.649,-1.7246,0.1579,-1.3999,-3.6805,-1.2877,-1.0,-0.866,R18
-0.6409,-1.7403,0.8025,0.2368,-0.3346,-2.1057,-1.5687,-2.9564,-0.0792,0.7766,1.0,-0.866,R19
1.0051,0.8442,0.3564,-1.2892,-3.6097,-0.5429,-0.7121,-2.9564,-2.0239,-1.2877,1.0,1.1547,R20
0.237,1.0537,1.5274,-0.763,-2.2997,0.4482,0.9476,0.935,0.3529,0.7766,1.0,-0.866,R21
0.7857,0.5648,-0.982,-0.8682,-0.5093,-0.3523,0.5327,0.5361,-0.5834,-1.2877,1.0,1.1547,R22
-5.2498,-1.2513,-1.8184,-0.6051,-1.1643,-1.6102,-0.8058,-1.6625,-1.2316,-1.2877,-1.0,-0.866,R23
-0.8055,-0.5528,0.0775,0.6051,0.0584,-0.0855,0.5729,-1.0107,-1.0876,0.7766,1.0,1.1547,R24
-0.3117,-1.4609,-1.5954,-6.9195,-8.9809,-4.2785,-0.2704,-1.2637,-4.4728,0.7766,1.0,-0.866,R25
0.6759,-0.3433,1.3601,-1.7628,-0.5093,0.7912,0.7736,0.935,0.2809,0.7766,-1.0,1.1547,R26
-0.5312,0.4949,0.914,0.6577,-1.2079,-4.6215,-1.5687,-0.8843,-0.2233,0.7766,1.0,-0.866,R27
0.1272,-2.6483,1.7505,-0.4473,-3.3477,-2.83,0.091,-0.4465,-0.4394,0.7766,1.0,-0.866,R28
-1.025,-0.9021,-0.8147,-0.763,-0.5966,-2.9062,-2.9072,-1.0107,-0.5114,0.7766,-1.0,-0.866,R29
-0.6409,-2.4388,0.914,-0.1842,0.5825,-2.1057,-0.7924,-0.8454,-0.2233,0.7766,1.0,-0.866,R30
-1.4639,-1.9498,-1.5954,-1.3944,-0.5966,-0.4667,0.439,0.5458,-1.2316,0.7766,1.0,1.1547,R31
0.7308,0.1457,0.3006,-0.342,-0.2472,-0.1617,0.5729,0.4485,-1.9519,-1.2877,1.0,-0.866,R32
1.06,1.1935,1.7505,1.1313,0.1458,0.8293,0.5729,0.935,1.2172,0.7766,1.0,-0.866,R33
1.06,0.006,1.7505,1.3418,0.4951,-1.0384,-1.5687,-1.0107,1.2893,0.7766,1.0,1.1547,R34
-0.1471,0.8442,1.7505,0.6577,1.1501,-0.8097,-0.8995,-1.254,1.2172,0.7766,1.0,1.1547,R35
-3.2746,-0.3433,0.5237,0.9735,-0.2909,-2.8681,-1.6892,-1.8182,-0.4394,-1.2877,-1.0,-0.866,R36
-1.4639,-1.2513,-2.3203,-1.4997,-1.6883,-3.7829,-4.2456,-2.9564,-2.24,0.7766,1.0,1.1547,R37
-1.4639,-0.5528,0.914,-0.4473,0.1458,-1.229,-0.6719,-2.9564,-4.8329,-1.2877,-1.0,1.1547,R38
1.4989,0.5648,1.7505,0.7104,0.8881,1.058,0.8941,0.7793,1.5774,-1.2877,-1.0,-0.866,R39
0.1272,-0.3433,1.0813,0.9735,0.4951,-1.7246,0.6666,-0.0379,0.641,0.7766,-1.0,-0.866,R40
-0.5312,-0.6925,1.4716,-2.3942,0.0584,-2.6394,-1.8364,-0.5243,-1.0876,0.7766,1.0,-0.866,R41
-0.2568,1.5427,0.5794,0.342,-2.2997,-1.7246,-0.2302,-1.0107,-0.0072,0.7766,-1.0,-0.866,R42
0.1272,1.403,1.5274,0.4473,0.4951,1.2486,-1.127,-2.9564,0.9291,0.7766,-1.0,1.1547,R43
0.1272,0.4949,0.5794,0.0263,-0.0289,-0.886,-2.4655,-0.5243,0.497,-1.2877,-1.0,-0.866,R44
0.237,0.1457,1.1928,-0.0789,-0.1599,-3.2112,-1.127,-1.6625,-0.3673,0.7766,1.0,-0.866,R45
1.2246,-0.7624,0.8025,0.763,1.5868,0.9818,-1.7293,0.4485,1.0012,-1.2877,1.0,-0.866,R46
0.237,0.7045,1.3043,-0.342,-2.518,-0.3904,-0.8995,-1.6625,-0.0792,0.7766,1.0,-0.866,R47
0.8405,-0.5528,0.3564,-0.6051,-0.7276,-0.7716,0.3052,0.3512,-0.5114,-1.2877,-1.0,1.1547,R48
-0.3666,1.1935,0.4679,1.1313,0.7571,-1.9533,0.1044,-1.0107,0.713,0.7766,1.0,1.1547,R49
0.1821,-0.5528,-3.2683,-1.9206,0.7135,-0.0855,0.8406,-2.9564,-1.2316,-1.2877,-1.0,-0.866,R50
0.7308,-1.1116,0.6909,0.4473,0.7571,0.6769,-2.2379,0.935,0.713,-1.2877,1.0,-0.866,R51
0.6211,-1.0418,-3.2125,0.6577,-0.0289,0.4482,-1.0868,0.935,-0.2233,-1.2877,1.0,-0.866,R52
1.4441,1.892,0.6909,1.1313,-0.2909,-1.0384,-1.2341,0.935,0.569,0.7766,1.0,1.1547,R53
1.3343,1.2633,0.5794,-0.1842,-1.47,0.715,1.1083,0.935,0.9291,-1.2877,1.0,1.1547,R54
-1.9577,-0.6925,0.1333,-1.2892,-0.2909,0.0289,-0.8995,-2.9564,-0.6554,-1.2877,1.0,1.1547,R55
1.3343,0.9839,-0.5916,0.6577,0.4514,-1.1147,-1.8364,-1.2053,0.8571,-1.2877,-1.0,1.1547,R56
-0.3666,1.3332,-0.034,1.7628,0.2768,0.6769,0.1579,-1.9836,0.7851,0.7766,1.0,-0.866,R57
0.237,0.7045,0.8025,-0.4473,-1.5136,0.6769,-4.2456,-1.0107,0.4249,0.7766,1.0,-0.866,R58
1.8282,0.7045,0.6909,1.447,1.0628,1.1724,1.1083,0.935,1.6494,-1.2877,1.0,-0.866,R59
0.7308,-0.6925,0.2448,1.0261,-0.9459,0.9437,-1.301,0.935,0.3529,-1.2877,-1.0,-0.866,R60
0.9503,0.006,-3.6029,-0.9735,-2.6927,0.6387,-1.8632,-2.9564,-1.2316,-1.2877,-1.0,1.1547,R61
-0.202,2.2412,0.3564,0.763,0.0584,1.1724,-1.1805,0.935,1.0012,0.7766,1.0,1.1547,R62
0.4565,-1.7403,-0.7032,-1.1839,-0.0289,-0.8097,1.1083,0.935,2.3696,-1.2877,1.0,-0.866,R63
0.6211,0.0758,0.1891,0.763,0.4514,-0.238,-1.5687,0.935,0.497,-1.2877,1.0,-0.866,R64
-5.2498,-2.2991,-2.8222,0.5525,0.2331,-2.4488,-2.0104,-1.6625,-0.9435,0.7766,1.0,1.1547,R65
-0.9153,-0.5528,-0.8147,-0.4473,0.1894,0.2957,0.439,0.468,0.9291,0.7766,-1.0,-0.866,R66
0.0724,-0.7624,-0.4801,-0.1842,0.0584,0.2576,0.5461,0.5458,0.569,0.7766,-1.0,1.1547,R67
-0.3666,0.006,-0.257,-0.2368,0.2331,0.2195,0.439,0.5361,0.4249,0.7766,-1.0,-0.866,R68
-0.3666,-0.0639,0.0775,0.1315,0.4951,0.2957,0.6799,0.5945,0.497,-1.2877,1.0,-0.866,R69
-0.4214,-0.7624,-0.4801,-0.1842,-0.1599,-0.238,0.5193,0.5264,0.2089,0.7766,1.0,-0.866,R70
0.1821,0.006,0.3006,0.6577,0.2768,0.4482,0.6398,0.6236,0.8571,0.7766,1.0,1.1547,R71
0.0724,0.7743,0.3564,0.0263,0.4951,0.6006,0.7469,0.6431,0.7851,0.7766,-1.0,-0.866,R72
0.5113,0.4251,0.4121,0.2368,0.4078,0.5244,0.7469,0.7015,0.7851,-1.2877,1.0,-0.866,R73
-1.2993,-0.8322,-0.2013,-0.342,-0.0289,0.2195,0.6933,0.7209,0.7851,-1.2877,1.0,1.1547,R74
