Responden,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,Cluster
R1,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,0,1,0,1
R2,3.5,3.79,3.83,3.96,3.65,3.28,2.8,0.0,3.69,1,0,0,0
R3,3.53,3.0,3.0,2.56,2.98,2.52,2.0,2.0,2.9,1,1,1,2
R4,3.8,3.65,3.63,3.42,3.65,3.65,4.0,2.0,3.64,1,1,1,2
R5,3.95,3.79,3.73,3.75,3.63,3.69,3.7,3.72,3.59,1,1,0,4
R6,3.2,3.4,3.3,3.45,3.5,3.46,3.51,3.49,3.5,0,1,1,3
R7,3.7,3.6,3.7,3.6,3.1,3.5,3.7,4.0,3.6,0,1,1,3
R8,3.95,3.91,3.92,3.75,3.78,3.39,2.33,3.33,3.88,0,1,0,1
R9,3.55,3.68,3.72,3.22,3.63,3.63,4.0,4.0,3.63,1,1,0,4
R10,3.34,3.9,3.59,3.75,3.56,3.71,2.0,0.0,3.5,0,1,0,1
R11,3.98,3.92,3.91,3.9,3.96,3.95,3.9,3.94,3.95,0,0,1,3
R12,4.0,4.0,3.67,3.96,3.87,3.87,4.0,4.0,3.92,0,1,1,3
R13,3.0,3.2,3.6,3.8,3.9,4.0,3.5,4.0,3.71,0,1,1,3
R14,3.58,3.71,3.69,3.19,3.63,3.75,3.88,3.65,3.65,0,0,1,3
R15,3.73,3.62,3.56,3.51,3.67,3.7,3.8,3.8,3.76,1,1,0,4
R16,3.76,3.9,3.83,3.81,3.15,3.9,3.0,0.0,3.78,1,1,0,4
R17,3.38,3.8,3.88,4.0,3.77,3.17,2.67,2.0,3.77,1,1,0,4
R18,3.72,3.14,2.54,2.79,3.03,3.17,3.29,16.0,3.16,0,0,0,1
R19,3.55,3.43,3.83,3.71,3.56,3.07,2.0,0.0,3.66,1,1,0,4
R20,3.85,3.8,3.75,3.42,2.81,3.48,2.64,0.0,3.39,0,1,1,3
R21,3.71,3.83,3.96,3.52,3.11,3.74,3.88,4.0,3.72,1,1,0,4
R22,3.81,3.76,3.51,3.5,3.52,3.53,3.57,3.59,3.59,0,1,1,3
R23,2.71,3.5,3.36,3.55,3.37,3.2,2.57,1.33,3.5,0,0,0,1
R24,3.52,3.6,3.7,3.78,3.65,3.6,3.6,2.0,3.52,1,1,1,2
R25,3.61,3.47,3.4,2.35,1.58,2.5,2.97,1.74,3.05,1,1,0,4
R26,3.79,3.63,3.93,3.33,3.52,3.83,3.75,4.0,3.71,1,0,1,0
R27,3.57,3.75,3.85,3.79,3.36,2.41,2.0,2.13,3.64,1,1,0,4
R28,3.69,3.3,4.0,3.58,2.87,2.88,3.24,2.58,3.61,1,1,0,4
R29,3.48,3.55,3.54,3.52,3.5,2.86,1.0,2.0,3.6,1,0,0,0
